date,meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,token_id,last_probability,mean_probability,min_probability,max_probability,number_of_observations,days_to_meeting,source_endpoint_type
2025-03-17,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.001,0.0011791044776119403,0.001,0.002,67,366,trades_fallback
2025-03-17,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,Yes,50_plus_bps_cut,59500043981638253528854819796350757181716737470693576068597643626706510223839,0.002,0.0017557251908396946,0.001,0.002,131,366,trades_fallback
2025-03-17,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.999,0.9989857142857143,0.998,0.999,70,366,trades_fallback
2025-03-17,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,No change in Fed interest rates after March 2025 meeting?,No,other,84404545665642736163147199311465812729929064435437776471057885230010324444001,0.00996216897856242,0.01081233849086482,0.009,0.015000000252100845,205,366,trades_fallback
2025-03-17,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 25 bps after March 2025 meeting?,Yes,25_bps_cut,89116530978908711797607850110372348932106298082008228479003610418450546304140,0.01,0.010482676402035686,0.008,0.014000000280000006,276,366,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 25 bps after March 2025 meeting?,No,other,31361078953599085620148709414894486777711482989707029427747081469972237802868,0.995,0.9921128915016714,0.99,0.995,1030,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,No change in Fed interest rates after March 2025 meeting?,Yes,no_change,36985952389507121027489287608663328433585265985125393395085818029245397624615,0.993,0.991395369628305,0.989,0.993,1473,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,No,other,53827210122848802553752764552357021508542175671336446697980210427171312978827,0.998,0.9978993287177087,0.996,0.999000000999,298,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.001,0.001,0.001,0.001,69,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,Yes,50_plus_bps_cut,59500043981638253528854819796350757181716737470693576068597643626706510223839,0.0030000000003,0.0021674856773197604,0.001,0.012085853877378568,145,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.999,0.999,0.999,0.999,10,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,No change in Fed interest rates after March 2025 meeting?,No,other,84404545665642736163147199311465812729929064435437776471057885230010324444001,0.00900000000861244,0.009293446981594202,0.008,0.011000000000756774,240,365,trades_fallback
2025-03-18,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 25 bps after March 2025 meeting?,Yes,25_bps_cut,89116530978908711797607850110372348932106298082008228479003610418450546304140,0.0070000000028,0.008040359386392115,0.005,0.01,310,365,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 25 bps after March 2025 meeting?,No,other,31361078953599085620148709414894486777711482989707029427747081469972237802868,0.999,0.9934106643828203,0.988,0.999,750,364,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,No change in Fed interest rates after March 2025 meeting?,Yes,no_change,36985952389507121027489287608663328433585265985125393395085818029245397624615,0.999,0.9926235056676678,0.989,0.999,871,364,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,No,other,53827210122848802553752764552357021508542175671336446697980210427171312978827,0.999,0.9987722321083298,0.997,0.999,449,364,trades_fallback
